epoch,train_loss,val_loss,seconds,global_step
1,2.844709923534702,1.8627108294739683,558.95,6546
2,1.9154178164182292,1.6515197785928282,558.78,13092
3,1.747217709869556,1.5579489035775227,558.52,19638
